//Version: PianoFingering_v170101
0	0.266603	0.380373	C5	64	80	0	3
1	0.388186	0.506839	B4	64	80	0	2
2	0.514652	0.632816	C5	65	80	0	3
3	0.640629	0.753422	D5	64	80	0	4
4	0.761235	0.874517	Eb5	64	80	0	5
5	0.882330	1.002450	G4	64	80	0	1
6	1.010260	1.130870	G#4	67	80	0	2
7	1.138680	1.251470	Bb4	64	80	0	3
8	1.259280	1.372570	G#4	64	80	0	2
9	1.380380	1.498060	F4	64	80	0	1
10	1.505870	1.623540	F5	65	80	0	5
11	1.631360	1.744640	Eb5	64	80	0	4
12	1.752450	1.865730	D5	64	80	0	3
13	1.873550	1.992200	C5	64	80	0	2
14	2.001970	2.137220	B4	69	80	0	1
15	2.145030	2.258800	G#5	64	80	0	5
16	2.266620	2.380390	G5	64	80	0	4
17	2.388200	2.506850	F5	64	80	0	3
18	2.514660	2.632830	Eb5	65	80	0	2
19	2.640640	2.753430	D5	64	80	0	1
20	2.761250	2.874530	C5	64	80	0	3
21	2.882340	3.002460	B4	64	80	0	2
22	3.010270	3.130880	C5	67	80	0	1
23	3.138690	3.251480	D5	64	80	0	2
24	3.259300	3.372580	C5	64	80	0	1
25	3.380390	3.498070	D5	64	80	0	2
26	3.505880	3.566430	Eb5	65	80	0	3
27	3.570330	3.627460	D5	64	80	0	2
28	3.631370	3.688010	Eb5	64	80	0	3
29	3.691920	3.748560	D5	64	80	0	2
30	3.752460	3.808620	Eb5	64	80	0	3
31	3.812520	3.869650	D5	64	80	0	2
32	3.873560	3.931180	C5	64	80	0	1
33	3.935080	3.996120	D5	64	80	0	2
34	4.001980	4.137230	Eb5	69	80	0	3
35	4.145040	4.258810	D5	64	80	0	2
36	4.266630	4.380400	C5	64	80	0	1
37	4.266630	4.380400	C4	64	80	1	-2
38	4.388210	4.506860	D5	64	80	0	2
39	4.388210	4.506860	B3	64	80	1	-3
40	4.514680	4.632840	Eb5	65	80	0	3
41	4.514680	4.632840	C4	65	80	1	-2
42	4.640650	4.753450	F5	64	80	0	4
43	4.640650	4.753450	D4	64	80	1	-1
44	4.761260	5.009800	G5	64	80	0	5
45	4.761260	4.874540	Eb4	64	80	1	-2
46	4.882350	5.002470	G3	64	80	1	-5
47	5.010280	5.073270	G5	67	80	0	3
48	5.010280	5.130890	G#3	67	80	1	-3
49	5.077180	5.134800	G#5	64	80	0	4
50	5.138700	5.251500	G5	64	80	0	3
51	5.138700	5.251500	Bb3	64	80	1	-2
52	5.259310	5.490760	F5	64	80	0	2
